,frames,avg_blue,avg_green,avg_red
0,1,177.0,186.0,192.0
1,2,177.0,186.0,192.0
2,3,177.0,186.0,192.0
3,4,177.42,186.42,192.42
4,5,177.28,186.28,192.28
5,6,177.21,186.21,192.21
6,7,177.21,186.61,191.81
7,8,177.18,186.58,191.78
8,9,177.18,186.58,191.78
9,10,177.18,186.58,191.78
10,11,177.18,186.58,191.78
11,12,176.1,187.9,191.3
12,13,176.1,187.9,191.3
13,14,176.1,187.9,191.3
14,15,176.1,187.9,191.3
15,16,176.16,187.96,191.36
16,17,176.04,187.84,191.24
17,18,175.92,187.72,191.12
18,19,175.98,187.78,191.18
19,20,176.1,187.5,191.7
20,21,176.1,187.5,191.7
21,22,176.1,187.5,191.7
22,23,176.45,187.05,191.85
23,24,176.22,188.02,191.42
24,25,176.78,187.38,191.18
25,26,176.62,187.64,191.4
26,27,176.62,187.64,191.4
27,28,177.5,186.9,192.1
28,29,177.24,186.64,191.84
29,30,176.04,187.84,191.24
30,31,176.08,187.84,191.32
31,32,176.12,187.92,191.32
32,33,176.12,187.92,191.32
33,34,176.74,187.4,191.18
34,35,176.77,187.61,191.33
35,36,176.1,187.9,191.3
36,37,176.75,187.77,191.53
37,38,177.12,187.12,191.12
38,39,177.18,187.12,191.24
39,40,177.09,187.09,191.09
40,41,177.17,187.13,191.21
41,42,177.14,187.12,191.16
42,43,177.2,187.18,191.22
43,44,177.24,187.24,191.24
44,45,177.19,187.19,191.19
45,46,177.19,187.19,191.19
46,47,177.12,187.12,191.12
47,48,177.7,187.7,191.7
48,49,177.52,187.52,191.52
49,50,177.44,187.44,191.44
50,51,177.37,187.35,191.39
51,52,177.37,187.35,191.39
52,53,177.37,187.35,191.39
53,54,177.37,187.35,191.39
54,55,176.31,188.09,191.53
55,56,176.31,188.09,191.53
56,57,176.31,188.09,191.53
57,58,176.76,187.32,191.2
58,59,176.25,187.79,191.41
59,60,176.1,187.3,191.9
60,61,176.7,186.9,191.5
61,62,176.88,186.28,191.48
62,63,177.0,186.4,191.6
63,64,177.0,186.4,191.6
64,65,177.42,186.82,192.02
65,66,177.35,186.95,191.75
66,67,177.35,186.95,191.75
67,68,177.35,186.95,191.75
68,69,176.22,187.42,192.02
69,70,176.48,187.42,191.44
70,71,176.48,187.42,191.44
71,72,176.1,187.9,191.3
72,73,176.1,187.9,191.3
73,74,176.1,187.9,191.3
74,75,176.1,187.9,191.3
75,76,175.94,187.74,191.14
76,77,175.94,187.74,191.14
77,78,175.94,187.74,191.14
78,79,175.94,187.74,191.14
79,80,175.79,187.59,190.99
80,81,175.79,187.59,190.99
81,82,175.79,187.59,190.99
82,83,175.79,187.59,190.99
83,84,176.22,187.42,192.02
84,85,176.1,187.3,191.9
85,86,176.1,187.3,191.9
86,87,177.0,187.0,191.0
87,88,176.92,187.08,190.92
88,89,176.77,186.95,190.79
89,90,176.45,186.89,191.51
90,91,175.57,187.13,191.31
91,92,174.8,187.8,190.8
92,93,175.5,187.56,191.44
93,94,175.15,187.69,191.11
94,95,175.15,187.69,191.11
95,96,176.1,187.9,191.3
96,97,176.78,187.3,191.16
97,98,176.78,187.3,191.16
98,99,176.78,187.3,191.16
99,100,176.3,186.9,190.7
100,101,176.18,187.98,191.38
101,102,176.0,187.8,191.2
102,103,176.0,187.8,191.2
103,104,176.0,187.8,191.2
104,105,176.53,187.09,190.97
105,106,176.59,187.61,191.37
106,107,175.76,187.56,190.96
107,108,176.22,188.02,191.42
108,109,176.22,188.02,191.42
109,110,176.22,188.02,191.42
110,111,176.22,188.02,191.42
111,112,176.22,188.02,191.42
112,113,176.81,187.41,191.21
113,114,176.81,187.41,191.21
114,115,176.81,187.41,191.21
115,116,176.81,187.41,191.21
116,117,176.81,187.41,191.21
117,118,176.16,187.96,191.36
118,119,176.16,187.96,191.36
119,120,174.88,187.88,190.88
120,121,174.88,187.88,190.88
121,122,175.3,188.3,191.3
